	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	3	4	5	6	7	8	9
1	0.0	0.9806	0.9554	0.9822	0.9934	0.9684	0.97	0.9882	0.9892	0.9876	0.9506	0.9838	0.981	0.984	0.9684	0.9912	0.9828	0.9168	0.9792	0.9724	0.9814	0.9618	0.9742	0.9744	0.9532
10	0.9806	0.0	0.947	0.9556	0.9776	0.9532	0.9584	0.9674	0.9676	0.978	0.959	0.9652	0.9802	0.916	0.9574	0.9696	0.9424	0.9716	0.9558	0.9816	0.9456	0.891	0.9356	0.9764	0.9426
11	0.9554	0.947	0.0	0.9536	0.9878	0.9168	0.9376	0.9808	0.9728	0.9808	0.8966	0.9718	0.9576	0.9692	0.9492	0.9806	0.9634	0.9486	0.9664	0.909	0.9754	0.9038	0.9334	0.9362	0.9134
12	0.9822	0.9556	0.9536	0.0	0.9816	0.9444	0.974	0.9834	0.9642	0.9744	0.9426	0.967	0.971	0.9622	0.9588	0.9762	0.9684	0.9762	0.9516	0.9842	0.975	0.927	0.9488	0.981	0.953
13	0.9934	0.9776	0.9878	0.9816	0.0	0.9912	0.9968	0.9974	0.964	0.9944	0.9902	0.997	0.982	0.9678	0.98	0.998	0.9908	0.993	0.9844	0.9966	0.9792	0.9824	0.983	0.9772	0.99
14	0.9684	0.9532	0.9168	0.9444	0.9912	0.0	0.9676	0.9892	0.9814	0.9806	0.9334	0.9748	0.96	0.9644	0.9434	0.9834	0.9632	0.9542	0.953	0.958	0.9774	0.9268	0.9614	0.9506	0.9404
15	0.97	0.9584	0.9376	0.974	0.9968	0.9676	0.0	0.9916	0.9866	0.9882	0.9528	0.9736	0.9762	0.9624	0.974	0.9286	0.9758	0.9728	0.9782	0.9114	0.9864	0.929	0.9812	0.9772	0.9208
16	0.9882	0.9674	0.9808	0.9834	0.9974	0.9892	0.9916	0.0	0.9934	0.9908	0.9792	0.9884	0.993	0.9862	0.9872	0.9924	0.985	0.9902	0.9908	0.9996	0.9882	0.9812	0.9732	0.993	0.9898
17	0.9892	0.9676	0.9728	0.9642	0.964	0.9814	0.9866	0.9934	0.0	0.9894	0.9774	0.9894	0.945	0.97	0.96	0.9922	0.9832	0.9828	0.9554	0.9934	0.9744	0.9688	0.9694	0.9614	0.9824
